,SouthOf4010,SouthOf4010,NorthOf4010,NorthOf4010,Total Removals,Source
1928,0.104,0.311,0.001,0.002,0.418,Ralston et al. 2010
1929,0.208,0.623,0.002,0.005,0.838,Ralston et al. 2010
1930,0.239,0.716,0.002,0.005,0.962,Ralston et al. 2010
1931,0.318,0.955,0.003,0.008,1.284,Ralston et al. 2010
1932,0.398,1.193,0.003,0.009,1.603,Ralston et al. 2010
1933,0.477,1.432,0.004,0.011,1.924,Ralston et al. 2010
1934,0.557,1.67,0.004,0.013,2.244,Ralston et al. 2010
1935,0.636,1.909,0.005,0.014,2.564,Ralston et al. 2010
1936,0.716,2.147,0.005,0.016,2.884,Ralston et al. 2010
1937,0.849,2.546,0.006,0.019,3.42,Ralston et al. 2010
1938,0.835,2.504,0.006,0.019,3.364,Ralston et al. 2010
1939,0.73,2.19,0.006,0.017,2.943,Ralston et al. 2010
1940,1.05,3.149,0.008,0.024,4.231,Ralston et al. 2010
1941,0.97,2.911,0.007,0.022,3.91,Ralston et al. 2010
1942,0.516,1.547,0.004,0.011,2.078,Ralston et al. 2010
1943,0.493,1.479,0.004,0.011,1.987,Ralston et al. 2010
1944,0.405,1.214,0.003,0.009,1.631,Ralston et al. 2010
1945,0.54,1.619,0.004,0.012,2.175,Ralston et al. 2010
1946,0.929,2.786,0.007,0.021,3.743,Ralston et al. 2010
1947,0.738,2.215,0.006,0.017,2.976,Ralston et al. 2010
1948,1.475,4.426,0.011,0.033,5.945,Ralston et al. 2010
1949,1.912,5.735,0.014,0.043,7.704,Ralston et al. 2010
1950,2.33,6.989,0.018,0.053,9.39,Ralston et al. 2010
1951,2.732,8.197,0.021,0.062,11.012,Ralston et al. 2010
1952,2.383,7.149,0.018,0.054,9.604,Ralston et al. 2010
1953,2.036,6.107,0.015,0.046,8.204,Ralston et al. 2010
1954,2.553,7.658,0.019,0.058,10.288,Ralston et al. 2010
1955,3.071,9.212,0.023,0.069,12.375,Ralston et al. 2010
1956,3.433,10.299,0.026,0.077,13.835,Ralston et al. 2010
1957,3.416,10.248,0.034,0.103,13.801,Ralston et al. 2010
1958,5.617,16.85,0.028,0.084,22.579,Ralston et al. 2010
1959,4.356,13.068,0.02,0.06,17.504,Ralston et al. 2010
1960,3.633,10.9,0.014,0.041,14.588,Ralston et al. 2010
1961,3.164,9.491,0.013,0.039,12.707,Ralston et al. 2010
1962,2.976,8.928,0.005,0.015,11.924,Ralston et al. 2010
1963,3.722,11.167,0.006,0.019,14.914,Ralston et al. 2010
1964,2.518,7.555,0.007,0.02,10.1,Ralston et al. 2010
1965,4.126,12.377,0.012,0.035,16.55,Ralston et al. 2010
1966,4.653,13.96,0.004,0.011,18.628,Ralston et al. 2010
1967,6.034,18.101,0.016,0.049,24.2,Ralston et al. 2010
1968,5.283,15.848,0.007,0.022,21.16,Ralston et al. 2010
1969,4.494,13.483,0.017,0.052,18.046,Ralston et al. 2010
1970,7.588,22.764,0.005,0.014,30.371,Ralston et al. 2010
1971,5.572,16.716,0.006,0.018,22.312,Ralston et al. 2010
1972,7.839,23.516,0.018,0.053,31.426,Ralston et al. 2010
1973,8.674,26.021,0.009,0.026,34.73,Ralston et al. 2010
1974,9.839,29.518,0.005,0.015,39.377,Ralston et al. 2010
1975,9.507,28.52,0.003,0.008,38.038,Ralston et al. 2010
1976,10.278,30.834,0.003,0.008,41.123,Ralston et al. 2010
1977,9.3,27.899,0.004,0.012,37.215,Ralston et al. 2010
1978,7.331,21.994,0.028,0.083,29.436,Ralston et al. 2010
1979,8.341,25.023,0.033,0.098,33.495,Ralston et al. 2010
1980,10.936,21.847,0.038,0.077,32.898,RecFIN
1981,4.755,10.989,0.043,0.099,15.886,RecFIN
1982,5.676,24.998,0.031,0.137,30.842,RecFIN
1983,5.103,10.824,0.077,0.164,16.168,RecFIN
1984,1.047,12.167,0.005,0.06,13.279,RecFIN
1985,3.279,23.873,0.019,0.136,27.307,RecFIN
1986,7.754,31.95,0.119,0.492,40.315,RecFIN
1987,18.353,34.123,0.284,0.527,53.287,RecFIN
1988,8.276,26.826,0.109,0.352,35.563,RecFIN
1989,9.546,22.426,0.06,0.142,32.174,RecFIN
1990,8.462,22.738,0.226,0.608,32.034,RecFIN
1991,7.566,23.488,0.204,0.635,31.893,RecFIN
1992,6.737,24.48,0.116,0.421,31.754,RecFIN
1993,5.782,25.017,0.153,0.661,31.613,RecFIN
1994,4.882,25.246,0.136,0.703,30.967,RecFIN
1995,3.981,20.01,0.119,0.599,24.709,RecFIN
1996,3.123,14.766,0.059,0.278,18.226,RecFIN
1997,3.6,3.544,0.06,0.059,7.263,RecFIN
1998,0.839,6.4,0.023,0.175,7.437,RecFIN
1999,2.971,11.709,0.101,0.399,15.18,RecFIN
2000,5.638,11.244,0.249,0.497,17.628,RecFIN
2001,6.506,9.19,0.308,0.435,16.439,RecFIN
2002,5.144,9.996,0.266,0.517,15.923,RecFIN
2003,4.402,12.124,0.331,0.913,17.77,RecFIN
2004,3.717,4.086,0.083,0.442,8.328,RecFIN
2005,8.485,4.901,0.155,0.368,13.909,RecFIN
2006,4.859,5.863,0.138,0.489,11.349,RecFIN
2007,4.399,6.79,0.643,0.868,12.7,RecFIN
2008,5.236,7.58,0.2,0.806,13.822,RecFIN
2009,7.033,11.139,0.663,0.889,19.724,RecFIN
2010,7.813,9.134,0.268,0.638,17.853,RecFIN
2011,7.461,6.611,0.158,1.059,15.289,RecFIN
2012,6.149,6.258,0.374,1.018,13.799,RecFIN
2013,4.528,4.273,0.258,0.97,10.029,RecFIN
2014,4.336,5.249,0.077,0.657,10.319,RecFIN
