Year,State,C1,C2,C3,C4,C5
1998,OR,Alive,23,100,0,0
1999,OR,Alive,74,93,0,0
2000,OR,Alive,196,1095,0,0
2001,OR,Alive,239,1858,13,16
2002,OR,Alive,294,1339,0,0
2003,OR,Alive,196,794,0,0
2004,OR,Alive,170,586,0,0
2005,OR,Alive,93,194,0,0
2006,OR,Alive,121,408,0,0
2007,OR,Alive,156,680,0,0
2008,OR,Alive,117,348,0,0
2009,OR,Alive,144,348,32,1
2010,OR,Alive,174,454,0,0
2011,OR,Alive,260,688,0,0
2012,OR,Alive,161,446,0,0
2013,OR,Alive,194,423,0,0
2014,OR,Alive,175,355,0,0
1995,OR,Dead,33,102,0,0
1996,OR,Dead,45,118,0,0
1998,OR,Dead,23,38,0,0
1999,OR,Dead,74,37,0,0
2000,OR,Dead,196,137,0,0
2001,OR,Dead,239,196,13,47
2002,OR,Dead,294,253,55,121
2003,OR,Dead,196,200,74,181
2004,OR,Dead,170,115,21,55
2005,OR,Dead,93,23,7,14
2006,OR,Dead,121,30,7,29
2007,OR,Dead,156,44,14,40
2008,OR,Dead,117,28,13,26
2009,OR,Dead,144,82,32,79
2010,OR,Dead,174,75,40,65
2011,OR,Dead,260,309,103,307
2012,OR,Dead,161,156,59,152
2013,OR,Dead,194,265,86,260
2014,OR,Dead,175,165,0,0
